transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
57212f82-5923-46e0-aef3-492961649867,KLNG-NSLM-80A-STO-1,SRVBL37039,direct debit,8.13,,,DE89D3638692773298033680720,IT28T2490862567421257262223419,486.96,Student music streaming monthly fee,2087-01-01T05:37:21
784a7954-0fb9-4e9f-8546-55ed70bac759,BLLE-BRND-7D7-MOD-1,,in-person payment,24.97,Modesto - Downtown Modesto Bakery,debit card,US45Y0450340314014549653022,IT82Z4953381140358311689742363,8219.08,,2087-01-01T09:03:37
c3632714-d9bb-4aff-9e2f-000dffa9e610,EMP34885,TNGY-CÉLN-802-BRU-1,transfer,1768.48,,,IT97V7843617302738502626777120,FR15C0515459207187401115517,10113.62,Salary payment Jan,2087-01-01T11:26:12
4ce0fe30-5b00-4173-8aba-551e41e117fc,EMP24257,PTTJ-GNVÈ-7EF-PAR-0,transfer,12402.60,,,IT72U5105258058282041871517947,FR41F3780213632912807343428,69197.61,Salary payment Jan,2087-01-01T12:15:27
23f9f83e-ec05-4771-90ab-746f9905415d,TRLN-DMNA-812-RON-0,,withdrawal,50.40,Roncaglia - ATM Roncaglia Town Center,debit card,IT21F6133312551134091221836,,1627.25,,2087-01-01T13:32:32
bde6ff9a-a5a4-4886-97cb-28c3063e7004,LCQE-MRAI-809-PAR-0,ABIT68600,transfer,905.66,,,FR19Y7932544701757942593324,IT14X8917736329330919616009401,9861.23,Rent payment Jan - Living Spaces Paris,2087-01-01T14:15:05
e8ed8674-8e21-4464-b6b0-1c4c68626d46,EMP95849,SCHC-CHRS-7DB-SIE-1,transfer,2233.42,,,IT62C3091484246825985921024683,DE70R9774158585987490130139,10084.56,Salary payment Jan,2087-01-01T15:22:58
8fdd2c2c-d0bb-4817-896a-920a8882c214,SCHC-CHRS-7DB-SIE-1,PROP41138,transfer,722.92,,,IT48R4624166198545671475615473,IT27N3166852911704900645509295,959.47,Rent payment Jan - Abitare Oggi Siegen,2087-01-01T16:19:32
75766276-a214-4a8f-ac4a-e008ece8f8ce,GRLC-VLNT-808-KIE-1,PROP13589,transfer,217.61,,,DE63D2443196701697981458469,IT71B6328557446922105777110717,1747.96,Rent payment Jan - Abitazioni Plus,2087-01-01T17:34:54
dc8d3a35-4f5b-451a-a10b-7034c14a9e41,EMP14191,DNLA-ÉLSB-805-PAR-1,transfer,3590.24,,,IT15V9107672535052550832330093,FR75C2971561092669690427080,27157.43,Salary payment Jan,2087-01-01T18:04:48
