transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
720a65c4-26cc-4090-aaad-a209c0978148,HRNG-STRD-7DA-BUX-1,,in-person payment,1.30,Buxtehude - Old Town Coffee House,mobile phone,DE88F2064683579425141331952,,4811.93,,2087-01-01T02:45:30
5554f6cb-e04b-4d17-b8cf-6e247b46a662,HRNG-STRD-7DA-BUX-1,,withdrawal,299.89,Valbonne - ATM Valbonne Village Center,debit card,DE88F2064683579425141331952,,4512.04,,2087-01-01T02:54:47
d05c1f00-a83a-4f08-b72a-dfdaece5a595,HRNG-STRD-7DA-BUX-1,,withdrawal,150.01,Valbonne - ATM Valbonne Village Center,debit card,DE88F2064683579425141331952,,4362.03,,2087-01-01T03:11:31
aed31c29-5897-4c16-b7c5-c380c50fb498,EMP65638,PRNT-LCUI-803-CHA-0,transfer,6666.98,,,IT25K6336776740055342482918627,FR70I5556812497454602285773,26023.15,Salary payment Jan,2087-01-01T08:24:11
3c6f3e5d-4ed7-4dbf-b047-5517f079f03d,LVRD-BLLY-7FC-CHA-1,ENTLN77035,transfer,1277.97,,,US07S9686003727743086128653,IT52D5458484744161412969801047,34873.66,Loan payment,2087-01-01T12:25:17
dd7ac95d-1122-4aa1-a5a1-01d99ed98f15,EMP48501,RNGI-KTHR-7CE-NET-1,transfer,2810.36,,,IT13U1247838597925492811767608,DE50O4298312992482530627506,12387.02,Salary payment Jan,2087-01-01T13:42:37
21281a26-a98d-48e9-a16f-e94ede74991a,STRM-CHRL-804-BRU-0,ABIT54125,transfer,1279.58,,,DE35R7854551860935142413007,IT79A2238405083638797362781067,24441.98,Rent payment Jan - Living Spaces,2087-01-01T15:39:36
6b90089a-8386-48fc-b39a-9880cd9d27a2,LVRD-BLLY-7FC-CHA-1,,in-person payment,146.36,Charlotte - South End Coffee House,debit card,US07S9686003727743086128653,IT42Y6550549554399556958419428,34727.30,,2087-01-01T20:55:53
3fa57e7a-fe25-462e-9021-dbc0c1102847,EMP99039,RGRO-XVRA-7DE-VAL-0,transfer,3342.45,,,IT17Y8503058920363149372353188,FR54G4296153530065829209962,26439.62,Salary payment Jan,2087-01-02T08:42:51
b278a20f-ac15-46ad-b75c-ac8af4c5cd13,EMP78522,STRM-CHRL-804-BRU-0,transfer,3375.37,,,IT72L7971278818914719737988726,DE35R7854551860935142413007,27817.35,Salary payment Jan,2087-01-02T12:57:16
cf35292e-a20e-4afd-8fab-0f2ab139e80b,RGRO-XVRA-7DE-VAL-0,ABIT79126,transfer,1024.54,,,FR54G4296153530065829209962,IT37P9011242439581997578769542,25415.08,Rent payment Jan - Casa Gestione Valbonne,2087-01-02T13:03:30
da7cd931-797a-412c-866a-8335b3653603,RYRO-BNÎT-7CD-BOR-1,,withdrawal,249.55,Bordeaux - ATM Bordeaux City Center,debit card,IT67K9397511204045267054053783,,4111.03,,2087-01-02T13:57:33
dfb15c71-d099-4399-b247-4501dc77cdb3,RYRO-BNÎT-7CD-BOR-1,,withdrawal,150.25,Bordeaux - ATM Bordeaux Riverfront,debit card,FR70Y5755505904812448123133,,10024.43,,2087-01-02T18:23:30
9c4ff937-08fa-444b-a575-871208db77f7,RYRO-BNÎT-7CD-BOR-1,,in-person payment,56.82,Bordeaux - Bordeaux Wine Cellar,debit card,FR70Y5755505904812448123133,IT47I4913041754553882956749622,9967.61,,2087-01-02T22:21:55
0a37a894-f56b-4070-a269-86ec37c62401,EMP28167,PRTA-PCCU-80D-MOL-0,transfer,1349.36,,,IT77O5872602545241447776565702,IT03S9939500543681152476954,5440.08,Salary payment Jan,2087-01-03T08:31:53
6bff7f73-3f72-48e2-a27d-80e585a87be3,EMP41977,HRNG-STRD-7DA-BUX-1,transfer,2221.40,,,IT92C8303038499307994936912390,DE88F2064683579425141331952,6583.43,Salary payment Jan,2087-01-03T09:42:08
9f50ece4-fb24-43fc-87b2-bd7686e5cc8a,CLLN-TNIA-812-THO-1,RES69774,transfer,361.85,,,US33N3008589671581300782329,IT94W2441102985094671056700553,4261.09,Rent payment Jan - Case Sicure Thousand Oaks,2087-01-03T10:31:28
ff39665a-d4e1-4434-bd97-94d27c4eb872,PRNT-LCUI-803-CHA-0,DOM22905,transfer,2152.57,,,FR70I5556812497454602285773,IT86M7583870216152136321369084,23870.58,Rent payment Jan - Affitti Italiani Challans,2087-01-03T12:41:05
5edff384-74fb-4ce9-bca8-5d3e774d899d,HRNG-STRD-7DA-BUX-1,CASE12215,transfer,655.74,,,IT96P2177038523867818258166917,IT51H7540142651492312860847819,1407.07,Rent payment Jan - Real Estate Italia,2087-01-03T13:50:50
2758d35d-7cee-47c1-af37-4b79ba7e16ec,LVRD-BLLY-7FC-CHA-1,TRDLN77307,transfer,168.50,,,US07S9686003727743086128653,IT38E4874200384453150483470506,34558.80,Loan payment,2087-01-03T15:21:34
87973d77-2d69-4030-a229-8d210e781d37,PRNT-LCUI-803-CHA-0,,in-person payment,93.61,Challans - Challans Family Bakery,mobile phone,FR70I5556812497454602285773,IT45U6352124456675586520208114,23776.97,,2087-01-03T20:06:37
505e2336-87aa-47e2-b045-a2322cb15176,RYRO-BNÎT-7CD-BOR-1,,in-person payment,19.95,Bordeaux - Bordeaux Wine Cellar,mobile phone,FR70Y5755505904812448123133,IT78M5155257641887732301280201,9947.66,,2087-01-03T22:36:03
60f808c6-0ad2-45b2-8698-644ee989a2f6,LVRD-BLLY-7FC-CHA-1,,in-person payment,123.62,Charlotte - Queen City Bakery,Google Pay,IT95H2037364023010537530094474,IT36G6359050268838832346927282,7623.16,,2087-01-03T22:57:20
892268c3-2dc1-4464-8e6a-2ec30fdf340a,RYRO-BNÎT-7CD-BOR-1,ENTLN31321,direct debit,112.10,,,FR70Y5755505904812448123133,IT58X2005334777843240544158681,9835.56,Private health insurance monthly,2087-01-04T00:38:04
409386b3-bf43-4609-bcde-c17f6a5f961e,EMP88573,LLLB-GSPP-7DB-CAN-1,transfer,3117.93,,,IT88E5068753134583637391384373,IT45X7423537059632531575837,15072.96,Salary payment Jan,2087-01-04T08:39:47
481f2a27-9bf8-4e66-9413-54bffcd8f492,EMP53910,PSQR-GTHA-801-LIL-0,transfer,3946.73,,,IT21N2418192008476228932805431,FR63W6493380323616760643636,35072.05,Salary payment Jan,2087-01-04T09:11:11
8936974b-327b-4134-8ca6-96556ca428f0,RYRO-BNÎT-7CD-BOR-1,VNDPH32342,e-commerce,53.92,MarketLane Direct,debit card,FR70Y5755505904812448123133,IT36Z4160140068663550189947825,9781.64,,2087-01-04T11:18:56
4b30a1a7-c9fb-4e88-ad18-8747a36d18c2,PRTA-PCCU-80D-MOL-0,IMMO90636,transfer,526.02,,,IT03S9939500543681152476954,IT34E3324064066124644979923515,4914.06,Rent payment Jan - Home Living,2087-01-04T12:37:24
0fac1106-185d-42c2-b2f3-988bd10c066b,PRNT-LCUI-803-CHA-0,ORGLN97527,transfer,1138.59,,,FR70I5556812497454602285773,IT58L1980949433548222876891650,22638.38,Loan payment,2087-01-04T13:14:46
7320e1a4-38a1-4bb0-be72-081c8acb085e,EMP77721,HMLT-DNSE-7F6-LON-1,transfer,24598.87,,,IT36O6754689370205085981870983,GB85U2452711650918218975210,115648.04,Salary payment Jan,2087-01-04T13:52:31
a030e56b-4230-401c-bee8-537e8573d03f,RYRO-BNÎT-7CD-BOR-1,,in-person payment,10.28,Bordeaux - Bordeaux Wine House,mobile phone,FR70Y5755505904812448123133,IT25F1006538568675382946962874,9771.36,,2087-01-04T15:37:55
23c638af-1356-4cfa-ba32-cbde5cc97143,EMP98016,CLLN-TNIA-812-THO-1,transfer,954.83,,,IT45O6038906457922746103829043,US33N3008589671581300782329,5215.92,Salary payment Jan,2087-01-04T15:38:11
9eefa833-972e-4f60-b20a-3438ca267137,SRNG-KRLA-805-DRE-0,CASE37450,transfer,854.88,,,DE29H3765595980408552608053,IT45C3238676961810418440670262,9596.32,Rent payment Jan - Living Spaces Dresden,2087-01-04T15:53:39
3dabfc47-c21a-49c1-be78-ac999508a336,EMP53463,PLZZ-ZEIO-7D4-FAL-1,transfer,3403.83,,,IT74R6708595205832622698152774,IT63K7880119925774979493266,10963.57,Salary payment Jan,2087-01-04T18:36:05
30fb5008-60d0-4d42-82b1-ce0b7ca22f2b,EMP54731,GYTU-DRNN-810-LYO-0,transfer,289.38,,,IT12C2416160419812882253767512,FR35C8305807982713993582832,1375.94,Salary payment Jan,2087-01-04T19:39:58
cd67e2d4-28d3-403a-8694-16bba6daf7fb,RNGI-KTHR-7CE-NET-1,HOME49394,transfer,813.32,,,DE50O4298312992482530627506,IT72C7676502232312051593665729,11573.70,Rent payment Jan - Residenze Milano Netphen,2087-01-04T20:30:34
