transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
b54bb23c-6703-4d7b-8149-411205534ef9,EMP14947,GRSC-KRLH-807-DIE-1,transfer,2816.15,,,IT94K6977238831108098344306373,DE41E6333599170389191000654,15388.80,Salary payment Jan,2087-01-04T11:23:43
45f793a8-8223-4e65-9b6b-fa1b0a62d4aa,GRSC-KRLH-807-DIE-1,ABIT68841,transfer,926.07,,,DE41E6333599170389191000654,IT87X9744454583635094041887989,14462.73,Rent payment Jan - Residenze Milano Dietzenbach,2087-01-04T15:29:49
fff9978c-8395-490a-95a1-8347bc751a2b,EMP96127,BRCH-TRCY-802-HAM-1,transfer,1079.04,,,IT90D8110289790688935324753197,GB55A1899498623707047636913,9483.96,Salary payment Jan,2087-01-05T12:32:25
c7491b59-9186-42c8-a930-1411b13dfe13,BRCH-TRCY-802-HAM-1,ABIT36422,transfer,336.09,,,GB55A1899498623707047636913,IT79Z3132921345218816901038837,9147.87,Rent payment Jan - Rental Management,2087-01-06T16:30:16
44fdd50c-73f4-4f0d-8b03-0409ebd8890b,EMP92998,RGNR-LNAA-7FF-AUD-0,transfer,2883.07,,,IT24Q9761542929117361438734311,FR85H4824371990132980420818,23406.79,Salary payment Jan,2087-01-06T18:39:20
7dc83725-605a-4fab-9e5a-017200a34b9a,RGNR-LNAA-7FF-AUD-0,RES83889,transfer,982.60,,,FR85H4824371990132980420818,IT19K6545578802800372895511504,22424.19,Rent payment Jan - Casa Tua Audincourt,2087-01-07T18:20:09
32e73719-7b07-4c61-9fac-6c715c92ab1f,BRCH-TRCY-802-HAM-1,MKTSW90199,e-commerce,99.80,SwiftCart Online,debit card,GB55A1899498623707047636913,IT74G5663459696944669320308106,9048.07,,2087-01-22T16:22:55
1ede528a-c212-4d30-8e62-e901ca537f83,EMP14947,GRSC-KRLH-807-DIE-1,transfer,2757.67,,,IT94K6977238831108098344306373,DE41E6333599170389191000654,17220.40,Salary payment Feb,2087-02-03T14:32:33
875367bb-b33a-40d4-bfed-7e9e0c5f6a46,EMP96127,BRCH-TRCY-802-HAM-1,transfer,1052.75,,,IT90D8110289790688935324753197,GB55A1899498623707047636913,10100.82,Salary payment Feb,2087-02-04T12:07:51
95679cc6-814c-4fbe-86a3-b697b54f5d10,BRCH-TRCY-802-HAM-1,ABIT36422,transfer,399.65,,,GB55A1899498623707047636913,IT79Z3132921345218816901038837,9701.17,Rent payment Feb - Rental Management,2087-02-05T14:47:28
